tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender,customer_plan
370,2013-10-08 17:59:20,2013-10-08 18:05:30,375,Mercer St & Bleecker St,40.72679454,-73.99695094,328,Watts St & Greenwich St,40.72405549,-74.00965965,16308,Subscriber,1947,male,""
783,2017-09-11 16:06:49,2017-09-11 16:19:53,462,W 22 St & 10 Ave,40.74691959,-74.00451887,525,W 34 St & 11 Ave,40.75594159,-74.0021163,30991,Subscriber,1940,male,""
1020,2017-08-22 11:26:36,2017-08-22 11:43:37,2009,Catherine St & Monroe St,40.71117444,-73.99682619,2008,Little West St & 1 Pl,40.70569254,-74.01677685,21316,Subscriber,1944,male,""
664,2015-07-27 23:54:05,2015-07-28 00:05:10,294,Washington Square E,40.73049393,-73.9957214,453,W 22 St & 8 Ave,40.74475148,-73.99915362,22985,Subscriber,1949,male,""
381,2018-01-30 06:50:35.739,2018-01-30 06:56:57.094,3431,E 35 St & 3 Ave,40.746524,-73.977885,174,E 25 St & 1 Ave,40.7381765,-73.97738662,17443,Subscriber,1996,female,""
911,2013-09-13 15:35:01,2013-09-13 15:50:12,368,Carmine St & 6 Ave,40.73038599,-74.00214988,474,5 Ave & E 29 St,40.7451677,-73.98683077,16408,Subscriber,1950,male,""
743,2018-05-09 15:03:59.266,2018-05-09 15:16:22.628,3284,E 88 St & Park Ave,40.781410700190015,-73.95595908164978,3156,E 72 St & York Ave,40.76663814,-73.95348296,28944,Subscriber,1946,male,""
531,2018-03-06 19:23:42.413,2018-03-06 19:32:34.251,387,Centre St & Chambers St,40.71273266,-74.0046073,229,Great Jones St,40.72743423,-73.99379025,33038,Subscriber,1949,male,""
2903,2017-09-01 13:00:49,2017-09-01 13:49:12,498,Broadway & W 32 St,40.74854862,-73.98808416,534,Water - Whitehall Plaza,40.70255065,-74.0127234,24980,Subscriber,1996,female,""
527,2017-09-19 18:28:41,2017-09-19 18:37:28,3158,W 63 St & Broadway,40.77163851,-73.98261428,3160,Central Park West & W 76 St,40.77896784,-73.97374737,30018,Subscriber,1948,male,""
848,2016-05-22 16:46:22,2016-05-22 17:00:30,382,University Pl & E 14 St,40.73492695,-73.99200509,3255,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,19551,Subscriber,1948,male,""
896,2013-11-21 09:13:26,2013-11-21 09:28:22,445,E 10 St & Avenue A,40.72740794,-73.98142006,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,14725,Subscriber,1996,male,""
286,2018-03-02 22:45:23.557,2018-03-02 22:50:09.691,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,480,W 53 St & 10 Ave,40.76669671,-73.99061728,25795,Subscriber,1996,male,""
468,2018-03-10 10:00:22.570,2018-03-10 10:08:11.365,3514,Astoria Park S & Shore Blvd,40.7767,-73.927631,3516,31 St & Astoria Blvd,40.7699176,-73.9184057,30407,Subscriber,1996,male,""
378,2014-03-15 21:35:44,2014-03-15 21:42:02,285,Broadway & E 14 St,40.73454567,-73.99074142,247,Perry St & Bleecker St,40.73535398,-74.00483091,17003,Subscriber,1950,male,""
896,2013-09-04 15:09:48,2013-09-04 15:24:44,446,W 24 St & 7 Ave,40.74487634,-73.99529885,510,W 51 St & 6 Ave,40.7606597,-73.98042047,20602,Subscriber,1941,male,""
996,2014-03-26 22:01:16,2014-03-26 22:17:52,536,1 Ave & E 30 St,40.74144387,-73.97536082,502,Henry St & Grand St,40.714215,-73.981346,16671,Subscriber,1996,male,""
905,2013-10-23 08:27:34,2013-10-23 08:42:39,434,9 Ave & W 18 St,40.74317449,-74.00366443,335,Washington Pl & Broadway,40.72903917,-73.99404649,17131,Subscriber,1996,male,""
1552,2016-06-24 19:00:39,2016-06-24 19:26:32,508,W 46 St & 11 Ave,40.76341379,-73.99667444,3142,1 Ave & E 62 St,40.7612274,-73.96094022,22203,Subscriber,1950,male,""
981,2016-08-17 18:29:16,2016-08-17 18:45:37,457,Broadway & W 58 St,40.76695317,-73.98169333,3169,Riverside Dr & W 82 St,40.78720869,-73.98128127,16136,Subscriber,1950,male,""
359,2015-11-03 19:21:34,2015-11-03 19:27:33,224,Spruce St & Nassau St,40.71146364,-74.00552427,2009,Catherine St & Monroe St,40.71117444,-73.99682619,17206,Subscriber,1943,female,""
732,2018-05-04 17:04:51.507,2018-05-04 17:17:03.999,3137,5 Ave & E 73 St,40.77282817,-73.96685276,3161,W 76 St & Columbus Ave,40.7801839724239,-73.977285325527191,26479,Subscriber,1950,male,""
1180,2018-02-12 17:10:21.009,2018-02-12 17:30:01.924,465,Broadway & W 41 St,40.75513557,-73.98658032,3147,E 85 St & 3 Ave,40.77801203,-73.95407149,31571,Subscriber,1996,male,""
902,2014-04-11 09:11:44,2014-04-11 09:26:46,331,Pike St & Monroe St,40.71173107,-73.99193043,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,18970,Subscriber,1945,male,""
205,2017-07-21 10:27:27,2017-07-21 10:30:53,507,E 25 St & 2 Ave,40.73912601,-73.97973776,2003,1 Ave & E 18 St,40.733812191966315,-73.980544209480286,20259,Subscriber,1996,female,""
992,2013-09-16 12:55:43,2013-09-16 13:12:15,312,Allen St & E Houston St,40.722055,-73.989111,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,16232,Subscriber,1949,male,""
2258,2015-10-19 09:29:18,2015-10-19 10:06:56,2004,6 Ave & Broome St,40.724399,-74.004704,442,W 27 St & 7 Ave,40.746647,-73.993915,16810,Subscriber,1944,female,""
1184,2018-05-07 07:59:46.039,2018-05-07 08:19:30.685,3536,W 116 St & Broadway,40.8082,-73.9641,3372,E 74 St & 1 Ave,40.7689738,-73.95482273,14924,Subscriber,2001,male,""
598,2013-11-11 08:39:06,2013-11-11 08:49:04,127,Barrow St & Hudson St,40.73172428,-74.00674436,521,8 Ave & W 31 St,40.75044999,-73.99481051,19965,Subscriber,1952,male,""
539,2017-09-17 21:14:35,2017-09-17 21:23:34,253,W 13 St & 5 Ave,40.73543934,-73.99453948,428,E 3 St & 1 Ave,40.72467721,-73.98783413,15185,Subscriber,1997,male,""
1497,2017-10-20 12:17:07,2017-10-20 12:42:05,433,E 13 St & Avenue A,40.72955361,-73.98057249,315,South St & Gouverneur Ln,40.70355377,-74.00670227,31012,Subscriber,1952,male,""
496,2014-08-11 13:54:11,2014-08-11 14:02:27,426,West St & Chambers St,40.71754834,-74.01322069,316,Fulton St & William St,40.70955958,-74.00653609,20375,Subscriber,1996,male,""
380,2015-08-12 18:01:33,2015-08-12 18:07:53,488,W 39 St & 9 Ave,40.75645824,-73.99372222,494,W 26 St & 8 Ave,40.74734825,-73.99723551,16575,Subscriber,1952,male,""
1478,2018-05-30 20:21:12.283,2018-05-30 20:45:50.400,347,Greenwich St & W Houston St,40.728846,-74.008591,530,11 Ave & W 59 St,40.771522,-73.990541,25994,Subscriber,1998,male,""
2080,2014-08-16 20:22:46,2014-08-16 20:57:26,348,W Broadway & Spring St,40.72490985,-74.00154702,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,18462,Subscriber,1950,male,""
508,2018-05-09 13:43:14.444,2018-05-09 13:51:42.912,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,2010,Grand St & Greene St,40.72165481,-74.00234737,29400,Subscriber,1996,male,""
914,2015-09-29 16:00:39,2015-09-29 16:15:54,250,Lafayette St & Jersey St,40.72456089,-73.99565293,463,9 Ave & W 16 St,40.74206539,-74.00443172,21987,Subscriber,1942,male,""
890,2015-07-15 19:22:23,2015-07-15 19:37:13,368,Carmine St & 6 Ave,40.73038599,-74.00214988,147,Greenwich St & Warren St,40.71542197,-74.01121978,21241,Subscriber,1952,male,""
968,2017-10-10 21:16:55,2017-10-10 21:33:03,410,Suffolk St & Stanton St,40.72066442,-73.98517977,433,E 13 St & Avenue A,40.72955361,-73.98057249,31955,Subscriber,1996,female,""
571,2015-07-17 16:34:09,2015-07-17 16:43:41,379,W 31 St & 7 Ave,40.749156,-73.9916,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,20775,Subscriber,1951,male,""
413,2017-11-14 06:53:29,2017-11-14 07:00:22,363,West Thames St,40.70834698,-74.01713445,417,Barclay St & Church St,40.71291224,-74.01020234,15349,Subscriber,1945,male,""
1304,2018-03-14 14:40:53.173,2018-03-14 15:02:37.475,174,E 25 St & 1 Ave,40.7381765,-73.97738662,3131,E 68 St & 3 Ave,40.76712840349542,-73.962246179580688,32402,Subscriber,1998,female,""
1140,2014-07-20 09:11:53,2014-07-20 09:30:53,313,Washington Ave & Park Ave,40.69610226,-73.96751037,308,St James Pl & Oliver St,40.71307916,-73.99851193,21297,Subscriber,1937,male,""
225,2018-03-01 15:14:12.002,2018-03-01 15:17:57.343,536,1 Ave & E 30 St,40.74144387,-73.97536082,545,E 23 St & 1 Ave,40.736502,-73.97809472,32413,Subscriber,1946,male,""
939,2014-01-10 14:32:16,2014-01-10 14:47:55,527,E 33 St & 1 Ave,40.74315566,-73.97434726,509,9 Ave & W 22 St,40.7454973,-74.00197139,20009,Subscriber,1944,male,""
748,2017-10-04 10:59:43,2017-10-04 11:12:11,482,W 15 St & 7 Ave,40.73935542,-73.99931783,537,Lexington Ave & E 24 St,40.74025878,-73.98409214,17721,Subscriber,1999,male,""
591,2016-03-10 09:21:05,2016-03-10 09:30:56,454,E 51 St & 1 Ave,40.75455731,-73.96592976,3141,1 Ave & E 68 St,40.76500525,-73.95818491,22760,Subscriber,1949,male,""
643,2017-07-19 19:08:11,2017-07-19 19:18:54,462,W 22 St & 10 Ave,40.74691959,-74.00451887,3256,Pier 40 - Hudson River Park,40.7277140777778,-74.011295735836029,26552,Subscriber,1928,male,""
602,2013-08-18 22:18:09,2013-08-18 22:28:11,515,W 43 St & 10 Ave,40.76009437,-73.99461843,524,W 43 St & 6 Ave,40.75527307,-73.98316936,20067,Subscriber,1942,male,""
1268,2018-04-21 16:51:07.781,2018-04-21 17:12:16.008,3129,Queens Plaza North & Crescent St,40.75110165,-73.94073717,3611,Vernon Blvd & 47 Rd,40.7449067,-73.9534573,19428,Customer,1996,female,""
289,2015-04-19 08:37:21,2015-04-19 08:42:10,511,E 14 St & Avenue B,40.72938685,-73.97772429,393,E 5 St & Avenue C,40.72299208,-73.97995466,18204,Subscriber,1940,male,""
386,2013-11-22 14:28:29,2013-11-22 14:34:55,2010,Grand St & Greene St,40.72165481,-74.00234737,146,Hudson St & Reade St,40.71625008,-74.0091059,19573,Subscriber,1941,male,""
69,2018-05-28 19:26:55.694,2018-05-28 19:28:05.226,533,Broadway & W 38 St,40.75299641,-73.98721619,465,Broadway & W 41 St,40.75513557,-73.98658032,16095,Subscriber,1900,male,""
524,2016-06-29 09:48:53,2016-06-29 09:57:38,3137,5 Ave & E 73 St,40.77282817,-73.96685276,3167,Amsterdam Ave & W 73 St,40.779668090073123,-73.980930447578416,18266,Subscriber,1945,male,""
179,2015-01-02 10:45:00,2015-01-02 10:48:00,295,Pike St & E Broadway,40.71406667,-73.99293911,412,Forsyth St & Canal St,40.7158155,-73.99422366,19457,Subscriber,1942,male,""
276,2017-09-21 06:06:52,2017-09-21 06:11:29,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,297,E 15 St & 3 Ave,40.734232,-73.986923,16934,Subscriber,1996,male,""
665,2014-04-05 13:26:46,2014-04-05 13:37:51,293,Lafayette St & E 8 St,40.73028666,-73.9907647,476,E 31 St & 3 Ave,40.74394314,-73.97966069,15023,Subscriber,1952,male,""
704,2018-04-20 17:23:55.402,2018-04-20 17:35:40.104,364,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,3064,Myrtle Ave & Lewis Ave,40.69681963,-73.93756926,16094,Subscriber,1997,male,""
394,2018-02-28 17:14:16.004,2018-02-28 17:20:50.894,307,Canal St & Rutgers St,40.71427487,-73.98990025,408,Market St & Cherry St,40.71076228,-73.99400398,15332,Subscriber,1946,male,""
678,2018-02-15 14:23:34.272,2018-02-15 14:34:52.843,531,Forsyth St & Broome St,40.71893904,-73.99266288,266,Avenue D & E 8 St,40.72368361,-73.97574813,33269,Subscriber,1951,male,""
647,2017-07-21 16:12:25,2017-07-21 16:23:13,509,9 Ave & W 22 St,40.7454973,-74.00197139,509,9 Ave & W 22 St,40.7454973,-74.00197139,27177,Customer,1996,female,""
1394,2017-05-29 19:53:16,2017-05-29 20:16:31,264,Maiden Ln & Pearl St,40.70706456,-74.00731853,212,W 16 St & The High Line,40.74334935,-74.00681753,28947,Subscriber,1996,female,""
794,2018-02-15 15:28:10.864,2018-02-15 15:41:25.201,312,Allen St & Stanton St,40.722055,-73.989111,312,Allen St & Stanton St,40.722055,-73.989111,15647,Subscriber,1997,male,""
330,2017-05-18 17:26:59,2017-05-18 17:32:30,3359,E 68 St & Madison Ave,40.7691572,-73.96703464,3163,Central Park West & W 68 St,40.7734066,-73.97782542,27640,Subscriber,1997,male,""
301,2017-05-16 11:55:24,2017-05-16 12:00:26,3226,W 82 St & Central Park West,40.78275,-73.97137,3360,Amsterdam Ave & W 79 St,40.7829391,-73.9786517,28245,Subscriber,1944,male,""
2568,2013-09-19 17:16:06,2013-09-19 17:58:54,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,127,Barrow St & Hudson St,40.73172428,-74.00674436,20099,Subscriber,1949,female,""
912,2017-12-18 01:56:11,2017-12-18 02:11:24,3064,Myrtle Ave & Lewis Ave,40.69681963,-73.93756926,3452,Bayard St & Leonard St,40.719155716960437,-73.94885390996933,19381,Subscriber,1996,male,""
2063,2013-08-19 08:21:03,2013-08-19 08:55:26,160,E 37 St & Lexington Ave,40.748238,-73.978311,527,E 33 St & 1 Ave,40.74315566,-73.97434726,20206,Subscriber,1939,male,""
767,2015-09-21 18:55:49,2015-09-21 19:08:37,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,432,E 7 St & Avenue A,40.72621788,-73.98379855,22612,Subscriber,1946,male,""
526,2018-04-23 08:50:45.528,2018-04-23 08:59:32.038,523,W 38 St & 8 Ave,40.75466591,-73.99138152,3641,Broadway & W 25 St,40.742868773121117,-73.98918628692627,21132,Subscriber,1949,female,""
626,2015-07-13 07:39:11,2015-07-13 07:49:38,455,1 Ave & E 44 St,40.75001986,-73.96905301,493,W 45 St & 6 Ave,40.7568001,-73.98291153,16110,Subscriber,1885,unknown,""
386,2018-03-07 14:20:09.746,2018-03-07 14:26:35.968,394,E 9 St & Avenue C,40.72521311,-73.97768752,341,Stanton St & Mangin St,40.71782143,-73.97628939,29873,Subscriber,2001,male,""
670,2017-05-14 10:35:01,2017-05-14 10:46:11,410,Suffolk St & Stanton St,40.72066442,-73.98517977,280,E 10 St & 5 Ave,40.73331967,-73.99510132,19209,Subscriber,1944,male,""
1651,2017-05-30 14:20:52,2017-05-30 14:48:23,3258,W 27 St & 10 Ave,40.750181563256831,-74.002184271812439,249,Harrison St & Hudson St,40.71870987,-74.0090009,25077,Subscriber,1946,female,""
726,2017-05-30 23:32:44,2017-05-30 23:44:51,377,6 Ave & Canal St,40.72243797,-74.00566443,295,Pike St & E Broadway,40.71406667,-73.99293911,19690,Subscriber,1945,male,""
695,2018-05-27 12:01:49.307,2018-05-27 12:13:24.363,3243,E 58 St & 1 Ave,40.75892386377695,-73.962262272834778,3129,Queens Plaza North & Crescent St,40.75110165,-73.94073717,29088,Subscriber,1948,male,""
403,2018-04-25 10:27:34.670,2018-04-25 10:34:18.423,328,Watts St & Greenwich St,40.72405549,-74.00965965,3461,Murray St & Greenwich St,40.714851505262516,-74.011223316192627,24944,Subscriber,1951,male,""
265,2018-03-10 20:21:06.830,2018-03-10 20:25:32.142,3408,Congress St & Clinton St,40.6881529,-73.99520919,3321,Clinton St & Union St,40.6831164,-73.99785267,30923,Subscriber,1998,male,""
161,2017-12-20 07:47:03,2017-12-20 07:49:44,279,Peck Slip & Front St,40.707873,-74.00167,306,Cliff St & Fulton St,40.70823502,-74.00530063,32131,Subscriber,1998,male,""
200,2016-08-16 22:23:54,2016-08-16 22:27:14,3145,E 84 St & Park Ave,40.77862688,-73.95772073,3135,E 75 St & 3 Ave,40.77112927,-73.95772297,22863,Subscriber,1998,male,""
295,2017-10-04 07:31:17,2017-10-04 07:36:12,301,E 2 St & Avenue B,40.72217444,-73.98368779,350,Clinton St & Grand St,40.71559509,-73.9870295,27950,Subscriber,1932,female,""
514,2017-10-15 09:24:40,2017-10-15 09:33:14,151,Cleveland Pl & Spring St,40.722103786686034,-73.997249007225037,356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,32385,Subscriber,1952,male,""
1376,2016-09-28 10:17:19,2016-09-28 10:40:15,3175,W 70 St & Amsterdam Ave,40.77748046,-73.98288594,472,E 32 St & Park Ave,40.7457121,-73.98194829,21134,Subscriber,1952,male,""
795,2015-11-24 08:15:23,2015-11-24 08:28:39,417,Barclay St & Church St,40.71291224,-74.01020234,263,Elizabeth St & Hester St,40.71729,-73.996375,21460,Subscriber,1950,female,""
229,2014-05-02 09:00:27,2014-05-02 09:04:16,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,417,Barclay St & Church St,40.71291224,-74.01020234,19807,Subscriber,1949,male,""
1079,2018-04-27 15:02:59.564,2018-04-27 15:20:59.356,423,W 54 St & 9 Ave,40.76584941,-73.98690506,3434,W 88 St & West End Ave,40.790254173304191,-73.977183401584611,31961,Subscriber,2000,male,""
364,2016-02-22 14:43:51,2016-02-22 14:49:56,127,Barrow St & Hudson St,40.73172428,-74.00674436,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,16445,Subscriber,1996,female,""
410,2013-10-18 16:59:54,2013-10-18 17:06:44,388,W 26 St & 10 Ave,40.749717753,-74.002950346,509,9 Ave & W 22 St,40.7454973,-74.00197139,18896,Subscriber,1996,male,""
247,2015-12-05 10:52:58,2015-12-05 10:57:06,297,E 15 St & 3 Ave,40.734232,-73.986923,335,Washington Pl & Broadway,40.72903917,-73.99404649,22983,Subscriber,1996,male,""
1058,2017-05-18 18:08:09,2017-05-18 18:25:48,259,South St & Whitehall St,40.70122128,-74.01234218,3256,Pier 40 - Hudson River Park,40.7277140777778,-74.011295735836029,18906,Customer,1998,male,""
559,2014-10-28 17:31:25,2014-10-28 17:40:44,375,Mercer St & Bleecker St,40.72679454,-73.99695094,294,Washington Square E,40.73049393,-73.9957214,18431,Subscriber,1996,male,""
300,2016-06-29 16:13:48,2016-06-29 16:18:49,377,6 Ave & Canal St,40.72243797,-74.00566443,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,21547,Subscriber,1945,male,""
259,2014-06-28 10:39:29,2014-06-28 10:43:48,294,Washington Square E,40.73049393,-73.9957214,300,Shevchenko Pl & E 7 St,40.728145,-73.990214,16199,Subscriber,1945,male,""
694,2014-06-04 06:43:47,2014-06-04 06:55:21,271,Ashland Pl & Hanson Pl,40.68528172,-73.97805813,343,Clinton Ave & Flushing Ave,40.69794,-73.96986848,20741,Subscriber,1951,male,""
252,2017-11-16 15:49:58,2017-11-16 15:54:11,3260,Mercer St & Bleecker St,40.727063633483063,-73.996621370315538,483,E 12 St & 3 Ave,40.73223272,-73.98889957,26049,Subscriber,1999,male,""
530,2017-11-16 23:28:54,2017-11-16 23:37:44,453,W 22 St & 8 Ave,40.74475148,-73.99915362,498,Broadway & W 32 St,40.74854862,-73.98808416,17012,Subscriber,1951,male,""
485,2015-11-18 13:48:39,2015-11-18 13:56:44,434,9 Ave & W 18 St,40.74317449,-74.00366443,523,W 38 St & 8 Ave,40.75466591,-73.99138152,23564,Subscriber,1948,male,""
373,2017-10-24 18:20:32,2017-10-24 18:26:45,382,University Pl & E 14 St,40.73492695,-73.99200509,3224,W 13 St & Hudson St,40.73997354103409,-74.005138725042343,27081,Subscriber,1998,male,""
1049,2014-12-03 23:35:37,2014-12-03 23:53:06,418,Front St & Gold St,40.70224,-73.982578,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,17323,Subscriber,1996,male,""
602,2015-07-08 17:18:19,2015-07-08 17:28:22,442,W 27 St & 7 Ave,40.746647,-73.993915,357,E 11 St & Broadway,40.73261787,-73.99158043,22039,Subscriber,1996,male,""
943,2015-11-11 11:50:19,2015-11-11 12:06:03,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,375,Mercer St & Bleecker St,40.72679454,-73.99695094,17580,Subscriber,1948,female,""
396,2014-06-30 08:43:58,2014-06-30 08:50:34,482,W 15 St & 7 Ave,40.73935542,-73.99931783,442,W 27 St & 7 Ave,40.746647,-73.993915,20041,Subscriber,1952,male,""
1946,2016-07-02 19:33:10,2016-07-02 20:05:36,497,E 17 St & Broadway,40.73704984,-73.99009296,466,W 25 St & 6 Ave,40.74395411,-73.99144871,25669,Subscriber,1950,male,""
402,2017-05-07 23:16:37,2017-05-07 23:23:19,428,E 3 St & 1 Ave,40.72467721,-73.98783413,349,Rivington St & Ridge St,40.71850211,-73.98329859,16329,Subscriber,1997,male,""
642,2016-09-07 08:34:25,2016-09-07 08:45:07,411,E 6 St & Avenue D,40.72228087,-73.97668709,335,Washington Pl & Broadway,40.72903917,-73.99404649,15404,Subscriber,1996,male,""
810,2018-02-01 15:20:06.053,2018-02-01 15:33:36.763,487,E 20 St & FDR Drive,40.73314259,-73.97573881,229,Great Jones St,40.72743423,-73.99379025,28920,Subscriber,1996,male,""
1366,2014-05-02 12:22:35,2014-05-02 12:45:21,259,South St & Whitehall St,40.70122128,-74.01234218,386,Centre St & Worth St,40.71494807,-74.00234482,21182,Subscriber,1951,male,""
287,2014-04-26 22:13:00,2014-04-26 22:17:47,529,W 42 St & 8 Ave,40.7575699,-73.99098507,479,9 Ave & W 45 St,40.76019252,-73.9912551,16112,Subscriber,1950,male,""
1720,2016-04-27 20:53:05,2016-04-27 21:21:45,264,Maiden Ln & Pearl St,40.70706456,-74.00731853,127,Barrow St & Hudson St,40.73172428,-74.00674436,22157,Subscriber,1951,male,""
358,2017-04-02 11:25:28,2017-04-02 11:31:26,470,W 20 St & 8 Ave,40.74345335,-74.00004031,253,W 13 St & 5 Ave,40.73543934,-73.99453948,27041,Subscriber,1996,male,""
494,2018-04-18 18:50:32.458,2018-04-18 18:58:46.925,461,E 20 St & 2 Ave,40.73587678,-73.98205027,411,E 6 St & Avenue D,40.72228087,-73.97668709,24953,Subscriber,1997,female,""
589,2017-11-19 10:53:54,2017-11-19 11:03:43,432,E 7 St & Avenue A,40.72621788,-73.98379855,341,Stanton St & Mangin St,40.71782143,-73.97628939,21873,Subscriber,1943,female,""
347,2016-07-12 08:16:36,2016-07-12 08:22:24,504,1 Ave & E 16 St,40.73221853,-73.98165557,300,Shevchenko Pl & E 7 St,40.728145,-73.990214,19518,Subscriber,1997,male,""
961,2013-09-07 09:39:58,2013-09-07 09:55:59,402,Broadway & E 22 St,40.7403432,-73.98955109,150,E 2 St & Avenue C,40.7208736,-73.98085795,19903,Subscriber,1941,male,""
390,2016-04-26 10:53:25,2016-04-26 10:59:56,2017,E 43 St & 2 Ave,40.75022392,-73.97121414,520,W 52 St & 5 Ave,40.75992262,-73.97648516,23386,Subscriber,1951,male,""
720,2017-11-29 09:20:36,2017-11-29 09:32:37,462,W 22 St & 10 Ave,40.74691959,-74.00451887,3244,University Pl & E 8 St,40.73143724085228,-73.994903415441513,33407,Subscriber,1996,male,""
577,2016-09-24 00:16:45,2016-09-24 00:26:22,501,FDR Drive & E 35 St,40.744219,-73.97121214,137,E 56 St & Madison Ave,40.761628,-73.972924,20254,Subscriber,1996,male,""
770,2016-06-03 07:12:46,2016-06-03 07:25:37,402,Broadway & E 22 St,40.7403432,-73.98955109,3236,W 42 St & Dyer Ave,40.758984813996342,-73.993799686431885,25119,Subscriber,1996,female,""
629,2015-08-23 10:41:17,2015-08-23 10:51:46,509,9 Ave & W 22 St,40.7454973,-74.00197139,486,Broadway & W 29 St,40.7462009,-73.98855723,18704,Subscriber,1998,female,""
648,2015-08-28 14:58:28,2015-08-28 15:09:16,499,Broadway & W 60 St,40.76915505,-73.98191841,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,18060,Subscriber,1948,male,""
500,2016-03-21 14:12:58,2016-03-21 14:21:18,367,E 53 St & Lexington Ave,40.75828065,-73.97069431,440,E 45 St & 3 Ave,40.75255434,-73.97282625,19063,Subscriber,1951,male,""
428,2017-07-21 14:56:21,2017-07-21 15:03:29,280,E 10 St & 5 Ave,40.73331967,-73.99510132,3224,W 13 St & Hudson St,40.73997354103409,-74.005138725042343,17802,Subscriber,1997,male,""
477,2013-09-20 16:43:59,2013-09-20 16:51:56,335,Washington Pl & Broadway,40.72903917,-73.99404649,128,MacDougal St & Prince St,40.72710258,-74.00297088,15934,Subscriber,1950,male,""
439,2018-05-13 20:31:49.048,2018-05-13 20:39:08.726,291,Madison St & Montgomery St,40.713126,-73.984844,295,Pike St & E Broadway,40.71406667,-73.99293911,20556,Subscriber,1946,male,""
2328,2018-05-30 13:00:13.458,2018-05-30 13:39:01.655,3135,E 75 St & 3 Ave,40.77112927,-73.95772297,445,E 10 St & Avenue A,40.72740794,-73.98142006,25993,Subscriber,1952,male,""
430,2016-06-03 17:09:04,2016-06-03 17:16:15,3243,E 58 St & 1 Ave,40.75892386377695,-73.962262272834778,3223,E 55 St & 3 Ave,40.758996559605116,-73.968653976917267,16869,Subscriber,1947,male,""
1042,2014-11-04 15:57:57,2014-11-04 16:15:19,515,W 43 St & 10 Ave,40.76009437,-73.99461843,474,5 Ave & E 29 St,40.7451677,-73.98683077,19200,Subscriber,1952,male,""
1848,2018-04-12 18:01:40.174,2018-04-12 18:32:28.593,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,150,E 2 St & Avenue C,40.7208736,-73.98085795,17428,Subscriber,1999,male,""
567,2016-09-22 18:44:06,2016-09-22 18:53:33,517,Pershing Square South,40.751581,-73.97791,442,W 27 St & 7 Ave,40.746647,-73.993915,15902,Subscriber,1952,male,""
1072,2015-07-20 17:23:00,2015-07-20 17:40:52,147,Greenwich St & Warren St,40.71542197,-74.01121978,537,Lexington Ave & E 24 St,40.74025878,-73.98409214,18683,Subscriber,1997,male,""
706,2015-01-20 15:53:00,2015-01-20 16:04:00,426,West St & Chambers St,40.71754834,-74.01322069,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,14616,Subscriber,1998,female,""
1034,2016-09-08 09:43:25,2016-09-08 10:00:40,511,E 14 St & Avenue B,40.72938685,-73.97772429,337,Old Slip & Front St,40.7037992,-74.00838676,23928,Subscriber,1900,male,""
538,2018-05-24 11:38:07.200,2018-05-24 11:47:05.286,150,E 2 St & Avenue C,40.7208736,-73.98085795,229,Great Jones St,40.72743423,-73.99379025,17040,Subscriber,1997,female,""
310,2018-04-24 16:17:13.997,2018-04-24 16:22:24.921,293,Lafayette St & E 8 St,40.730206605299543,-73.991026282310486,433,E 13 St & Avenue A,40.72955361,-73.98057249,21077,Subscriber,1996,male,""
980,2017-09-10 18:51:36,2017-09-10 19:07:56,433,E 13 St & Avenue A,40.72955361,-73.98057249,410,Suffolk St & Stanton St,40.72066442,-73.98517977,15372,Subscriber,1997,female,""
1767,2017-06-07 17:16:52,2017-06-07 17:46:19,523,W 38 St & 8 Ave,40.75466591,-73.99138152,3378,E 76 St & Park Ave,40.773763,-73.96222088,14851,Customer,1949,male,""
1172,2018-04-03 09:08:54.171,2018-04-03 09:28:26.766,229,Great Jones St,40.72743423,-73.99379025,232,Cadman Plaza E & Tillary St,40.69597683,-73.99014892,29760,Subscriber,1949,male,""
489,2013-07-23 09:28:36,2013-07-23 09:36:45,485,W 37 St & 5 Ave,40.75038009,-73.98338988,448,W 37 St & 10 Ave,40.75660359,-73.9979009,16229,Subscriber,1949,male,""
